,Country,Region_x,Happiness Score,"GDP (Billions, PPP)",GDP per Capita (PPP),Unemployment (%),Income Tax Rate (%),Freedom from Corruption,Fiscal Freedom ,Government Spending,Tariff Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Government Expenditure % of GDP ,Population (Millions),GDP Growth Rate (%),5 Year GDP Growth Rate (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Property Rights
63,Greece,Europe,4.857,2.66,24.01,27.6,42.0,40.0,64.2,0.0,1.0,26.0,33.8,58.5,11.1,-3.9,-5.2,-0.9,2566.5,173.8,73.3,51.6,77.8,83.0,60.0,50.0,40.0
64,Guatemala,South and Central America / Caribbean,6.122999999999999,0.82,5.28,2.8,31.0,29.0,79.6,94.1,2.7,31.0,10.9,14.1,15.5,3.5,2.8,4.3,1308.9,24.4,54.7,50.6,76.8,84.6,65.0,50.0,20.0
65,Guinea,Sub-Saharan Africa,3.656,0.12,1.12,3.1,40.0,24.0,68.1,79.5,11.9,35.0,19.0,26.1,11.1,2.5,2.4,12.0,24.8,37.8,51.6,74.4,66.7,61.2,40.0,40.0,15.0
68,Haiti,South and Central America / Caribbean,4.518,0.14,1.31,7.1,30.0,19.0,80.3,76.2,3.7,30.0,12.9,28.2,10.3,4.3,2.0,6.8,190.0,21.3,43.1,63.7,73.5,77.6,40.0,30.0,10.0
69,Honduras,South and Central America / Caribbean,4.788,0.39,4.84,4.2,25.0,26.0,84.9,78.7,6.2,25.0,16.1,26.6,8.1,2.6,2.3,5.2,1059.7,40.2,53.2,28.0,75.4,77.6,60.0,60.0,30.0
70,Hong Kong,Asia-Pacific,5.474,3.82,52.72,3.3,15.0,75.0,93.2,89.7,0.0,16.5,13.7,18.5,7.2,2.9,2.7,4.3,76632.8,0.5,100.0,95.9,81.8,90.0,90.0,90.0,90.0
71,Hungary,Europe,4.8,1.98,20.07,10.5,16.0,54.0,78.7,25.9,1.0,19.0,38.9,49.7,9.9,1.1,-1.0,1.7,3091.1,79.2,74.5,67.7,79.2,88.0,75.0,70.0,55.0
72,Iceland,Europe,7.561,0.13,41.0,5.6,31.8,78.0,72.0,32.6,1.0,20.0,37.2,47.4,0.3,2.9,-0.8,3.9,347.1,90.2,90.5,62.2,77.0,88.0,70.0,60.0,90.0
73,India,Asia-Pacific,4.565,50.69,4.08,3.7,30.9,36.0,79.4,78.3,7.7,32.4,7.3,26.9,1243.3,4.4,6.9,9.5,28199.4,66.7,43.3,48.7,65.3,64.6,35.0,40.0,55.0
74,Indonesia,Asia-Pacific,5.399,12.93,5.21,6.0,30.0,32.0,83.3,88.3,2.6,25.0,11.9,19.7,248.0,5.8,5.9,6.4,18444.0,26.1,49.3,48.7,74.9,74.8,40.0,60.0,30.0
75,Iran,Middle East / North Africa,4.686,9.46,12.26,13.2,35.0,25.0,81.2,93.0,21.8,25.0,5.9,15.3,77.1,-1.7,1.0,35.2,3049.9,10.6,57.0,51.3,48.7,41.4,0.0,10.0,10.0
77,Ireland,Europe,6.94,1.89,39.55,13.6,41.0,72.0,73.6,45.6,1.0,12.5,28.3,42.6,4.8,-0.3,-1.1,0.5,35519.7,122.8,82.1,76.2,83.9,88.0,90.0,70.0,85.0
78,Israel,Middle East / North Africa,7.278,2.74,34.77,6.7,48.0,61.0,61.9,47.8,0.7,26.5,28.3,41.7,7.9,3.3,3.6,1.5,11803.8,66.7,72.4,67.1,81.6,88.6,80.0,70.0,75.0
79,Italy,Europe,5.9479999999999995,18.08,30.29,12.2,43.0,43.0,54.2,23.2,1.0,27.5,44.4,50.6,59.7,-1.9,-1.5,1.3,16507.8,132.5,71.9,55.4,81.2,88.0,85.0,60.0,55.0
80,Jamaica,South and Central America / Caribbean,5.709,0.25,9.05,15.0,25.0,38.0,81.5,73.2,7.5,25.0,24.4,29.9,2.8,0.5,-0.7,9.4,567.1,138.9,85.9,76.5,71.4,75.0,85.0,50.0,40.0
81,Japan,Asia-Pacific,5.987,46.99,36.9,4.1,40.8,74.0,68.7,47.1,1.2,25.5,28.6,42.0,127.3,1.5,0.3,0.4,2303.7,243.2,84.1,90.2,86.7,82.6,70.0,50.0,80.0
82,Jordan,Middle East / North Africa,5.192,0.4,6.12,12.6,14.0,45.0,93.7,70.7,5.2,14.0,15.3,31.2,6.5,3.3,3.2,5.5,1798.5,87.7,59.1,74.4,80.6,79.6,70.0,60.0,60.0
83,Kazakhstan,Asia-Pacific,5.855,2.47,14.39,5.2,10.0,26.0,93.2,85.0,3.0,20.0,13.5,22.4,17.2,6.0,5.4,5.8,9738.5,13.5,73.7,87.0,74.6,79.0,40.0,50.0,25.0
84,Kenya,Sub-Saharan Africa,4.419,0.8,1.81,9.2,30.0,27.0,78.0,72.1,10.5,30.0,20.1,30.5,44.4,5.6,4.6,5.7,514.4,50.5,47.9,63.8,72.8,64.0,50.0,50.0,30.0
88,Kuwait,Middle East / North Africa,6.295,1.54,39.71,3.1,0.0,43.0,97.7,61.1,4.4,15.0,0.7,36.0,3.9,0.8,0.6,2.7,2329.0,5.3,58.6,64.2,74.0,76.2,55.0,50.0,45.0
90,Laos,Asia-Pacific,4.876,0.21,3.07,1.4,24.0,26.0,86.2,86.8,13.2,24.0,15.0,21.0,6.8,8.2,7.9,6.4,296.0,62.0,59.5,57.1,74.5,58.6,30.0,20.0,15.0
91,Latvia,Europe,5.098,0.39,19.12,10.9,24.0,53.0,84.4,59.2,1.0,15.0,27.6,36.9,2.0,4.1,-1.3,0.0,808.3,32.1,82.1,61.5,83.8,88.0,85.0,50.0,50.0
92,Lebanon,Middle East / North Africa,4.8389999999999995,0.66,14.85,6.6,20.0,28.0,91.3,70.6,7.1,15.0,15.7,31.3,4.5,1.0,4.5,3.2,2832.7,139.7,54.7,60.7,72.0,75.8,60.0,60.0,20.0
93,Lesotho,Sub-Saharan Africa,4.898,0.04,2.25,27.0,35.0,49.0,68.5,0.0,12.7,25.0,36.1,61.1,1.9,5.8,5.2,5.3,44.1,39.6,54.7,63.9,75.2,64.6,45.0,40.0,35.0
94,Liberia,Sub-Saharan Africa,4.571000000000001,0.03,0.7,3.8,25.0,38.0,83.0,69.9,5.3,25.0,21.1,31.7,4.1,8.0,7.0,7.6,1061.3,29.5,60.1,43.9,72.7,74.4,40.0,20.0,25.0
95,Libya,Middle East / North Africa,5.754,0.7,11.5,9.0,10.0,15.0,95.0,37.5,0.0,20.0,0.7,45.7,6.1,-9.4,-6.0,2.6,702.0,0.0,46.8,66.7,71.4,80.0,5.0,20.0,10.0
97,Lithuania,Europe,5.832999999999999,0.68,22.75,12.1,15.0,57.0,92.9,61.3,1.0,15.0,16.0,35.9,3.0,3.3,-0.4,1.2,531.1,39.3,84.9,62.0,81.2,88.0,80.0,80.0,60.0
98,Luxembourg,Europe,6.946000000000001,0.43,78.67,5.7,43.6,80.0,62.3,42.2,1.0,21.0,37.8,43.9,0.5,2.0,0.2,1.7,30075.4,22.9,71.3,42.1,80.7,88.0,95.0,80.0,90.0
100,Macedonia,Europe,5.007,0.23,10.9,29.7,10.0,44.0,91.4,65.6,1.9,10.0,25.6,33.8,2.1,3.1,1.5,2.8,333.9,35.8,79.2,70.7,79.0,86.2,60.0,60.0,35.0
102,Malawi,Sub-Saharan Africa,4.292,0.15,0.88,7.6,30.0,37.0,78.5,49.0,6.4,30.0,18.8,41.2,17.1,5.0,5.3,27.7,118.4,68.9,49.1,63.1,53.8,72.2,55.0,50.0,40.0
103,Malaysia,Asia-Pacific,5.77,5.26,17.75,3.2,26.0,50.0,84.4,74.0,5.0,25.0,16.1,29.5,29.6,4.7,4.2,2.1,12305.7,58.2,93.5,75.7,80.8,80.0,55.0,60.0,55.0
105,Mali,Sub-Saharan Africa,3.995,0.19,1.1,8.5,40.0,28.0,69.6,89.2,8.4,35.0,14.5,19.0,16.9,1.7,2.9,-0.6,410.3,31.5,47.2,50.7,81.1,73.2,60.0,40.0,25.0
106,Malta,Europe,6.3020000000000005,0.12,27.84,6.5,35.0,56.0,63.1,44.4,1.0,35.0,35.2,43.1,0.4,2.4,1.1,1.0,-2099.8,71.7,61.0,55.6,81.8,88.0,80.0,60.0,75.0
107,Mauritania,Sub-Saharan Africa,4.436,0.08,2.22,30.9,30.0,30.0,80.2,59.8,8.0,25.0,21.3,36.6,3.7,6.7,4.1,4.1,1154.1,87.7,50.5,52.1,76.6,69.0,50.0,40.0,25.0
108,Mauritius,Sub-Saharan Africa,5.477,0.21,16.06,8.1,15.0,52.0,91.9,87.4,0.8,15.0,18.9,20.5,1.3,3.1,3.5,3.5,258.6,53.8,78.0,68.2,77.6,88.4,85.0,70.0,65.0
109,Mexico,North America,7.187,18.43,15.56,5.0,35.0,34.0,77.8,78.0,2.2,30.0,10.0,27.1,118.4,1.1,1.8,3.8,38285.7,46.5,71.5,59.9,77.6,85.6,70.0,60.0,50.0
111,Moldova,Europe,5.888999999999999,0.13,3.74,5.9,18.0,35.0,85.1,51.8,2.6,12.0,32.0,40.1,3.6,8.9,3.0,4.6,231.3,24.4,66.8,40.6,76.1,79.8,50.0,50.0,40.0
113,Montenegro,Europe,5.192,0.07,11.91,19.7,9.0,44.0,92.6,36.7,2.6,9.0,24.0,45.9,0.6,3.4,0.1,2.2,447.4,56.8,77.1,77.5,79.7,84.8,65.0,50.0,40.0
114,Morocco,Middle East / North Africa,5.013,1.79,5.46,9.2,38.0,37.0,70.9,61.0,3.4,30.0,23.7,36.1,32.9,4.5,4.1,1.9,3358.4,61.9,68.8,33.4,81.9,78.2,70.0,60.0,40.0
115,Mozambique,Sub-Saharan Africa,4.971,0.28,1.09,8.5,32.0,30.0,75.2,66.5,4.8,32.0,20.8,33.4,25.9,7.1,7.0,4.2,5935.1,43.3,60.9,37.9,82.0,75.4,40.0,50.0,30.0
117,Nepal,Asia-Pacific,4.513999999999999,0.42,1.51,2.7,25.0,31.0,85.6,88.9,11.6,25.0,13.9,19.2,27.9,3.6,4.3,9.9,73.6,31.0,65.7,44.3,70.5,61.8,5.0,30.0,30.0
118,Netherlands,Europe,7.377999999999999,7.0,41.71,6.7,52.0,83.0,51.8,23.8,1.0,25.0,38.6,50.4,16.8,-0.8,-0.7,2.6,24388.9,74.9,84.3,66.3,79.8,88.0,90.0,80.0,90.0
119,New Zealand,Asia-Pacific,7.2860000000000005,1.37,30.49,6.4,33.0,91.0,70.4,43.0,1.6,28.0,32.9,43.6,4.5,2.4,1.5,1.1,986.5,35.9,95.5,91.4,87.6,86.8,80.0,80.0,95.0
120,Nicaragua,South and Central America / Caribbean,5.827999999999999,0.28,4.55,7.2,30.0,28.0,78.4,76.6,2.3,30.0,18.9,28.0,6.1,4.2,3.2,7.4,848.7,42.4,58.0,56.7,67.8,85.4,65.0,50.0,10.0
121,Niger,Sub-Saharan Africa,3.845,0.14,0.83,5.0,35.0,34.0,76.6,83.6,9.7,30.0,14.5,23.4,16.6,3.6,4.8,2.3,631.4,33.8,39.2,40.9,81.3,65.6,55.0,40.0,30.0
122,Nigeria,Sub-Saharan Africa,5.268,4.79,2.83,7.5,24.0,25.0,85.2,76.1,10.6,30.0,3.0,28.2,169.3,6.3,7.0,8.5,5609.0,19.4,48.3,77.7,70.4,63.8,40.0,40.0,30.0
123,Norway,Europe,7.522,2.8,54.95,3.5,47.8,86.0,52.1,43.8,0.3,27.0,42.2,43.3,5.1,0.8,0.8,2.1,9329.7,29.5,92.1,48.2,81.7,89.4,75.0,60.0,90.0
124,Oman,Middle East / North Africa,6.853,0.95,29.81,8.0,0.0,47.0,98.5,44.2,4.1,12.0,2.5,43.1,3.2,5.1,4.7,1.3,1625.5,7.0,68.4,76.1,76.2,76.8,65.0,60.0,55.0
125,Pakistan,Asia-Pacific,5.194,5.75,3.15,5.2,30.0,28.0,77.7,86.1,9.7,35.0,10.4,21.5,182.6,3.6,2.9,7.4,1307.0,63.1,65.6,42.1,71.2,65.6,50.0,40.0,30.0
126,Panama,South and Central America / Caribbean,6.7860000000000005,0.62,16.66,4.0,25.0,35.0,84.5,78.8,5.8,25.0,17.4,26.6,3.7,8.0,8.2,4.0,4651.3,41.3,71.5,41.5,76.4,78.4,75.0,70.0,30.0
128,Paraguay,South and Central America / Caribbean,5.877999999999999,0.46,6.82,5.2,10.0,24.0,96.0,81.9,4.3,10.0,14.3,24.6,6.8,13.0,4.8,2.7,382.4,15.2,58.4,26.3,78.3,81.4,75.0,60.0,30.0
129,Peru,South and Central America / Caribbean,5.824,3.44,11.12,3.8,30.0,38.0,78.6,88.5,1.5,30.0,18.5,19.6,30.9,5.0,5.5,2.8,10172.3,19.6,67.7,63.4,83.9,87.0,70.0,60.0,40.0
130,Philippines,Asia-Pacific,5.073,4.56,4.68,7.3,32.0,36.0,79.1,89.3,4.8,30.0,12.9,18.9,97.5,7.2,5.2,2.9,3859.8,38.3,55.3,58.2,78.8,75.4,60.0,60.0,30.0
131,Poland,Europe,5.791,8.18,21.21,10.4,32.0,60.0,82.1,47.1,1.0,19.0,20.1,42.0,38.5,1.6,2.7,0.9,-6037.7,57.5,67.3,60.4,81.3,88.0,70.0,70.0,60.0
132,Portugal,Europe,5.102,2.45,23.07,16.9,48.0,62.0,61.1,28.8,1.0,23.0,32.5,48.7,10.6,-1.4,-1.4,0.4,3114.0,128.8,87.5,42.9,82.8,88.0,70.0,60.0,70.0
133,Qatar,Middle East / North Africa,6.611000000000001,2.0,98.81,0.6,0.0,68.0,99.7,71.9,4.1,0.0,5.1,30.6,2.0,6.1,10.7,3.1,-840.4,34.2,70.5,71.2,79.7,81.8,45.0,50.0,70.0
134,Romania,Europe,5.124,2.85,13.4,7.4,16.0,43.0,86.9,62.3,1.0,16.0,28.2,35.4,21.3,3.5,-0.3,4.0,3616.8,39.3,69.8,68.6,77.3,88.0,80.0,50.0,40.0
135,Russia,Europe,5.716,25.56,17.88,5.8,13.0,28.0,86.1,57.8,5.0,20.0,28.7,37.5,142.9,1.3,1.0,6.8,79262.0,13.4,76.3,58.9,63.9,75.0,25.0,30.0,20.0
136,Rwanda,Sub-Saharan Africa,3.465,0.16,1.54,0.6,30.0,53.0,80.2,79.2,4.6,30.0,13.6,26.3,10.6,5.0,6.9,4.2,110.8,29.4,59.5,84.5,76.0,80.8,65.0,40.0,30.0
141,Saudi Arabia,Middle East / North Africa,6.4110000000000005,9.37,31.25,5.5,2.5,46.0,99.7,61.9,4.3,2.5,3.7,35.7,30.0,3.8,5.5,3.5,9298.0,2.7,65.8,72.7,68.4,76.4,40.0,50.0,40.0
142,Senegal,Sub-Saharan Africa,3.904,0.28,1.96,9.9,40.0,41.0,71.3,74.6,8.0,30.0,19.2,29.1,14.1,4.0,3.2,0.8,298.3,45.9,54.6,39.5,83.0,74.0,60.0,40.0,40.0
143,Serbia,Europe,5.122999999999999,0.81,11.27,22.6,15.0,42.0,82.4,27.1,5.9,15.0,36.2,49.3,7.2,2.5,0.0,7.7,1377.4,65.8,57.8,70.4,72.2,78.2,75.0,50.0,45.0
