Country Name,Region,Property Rights,Freedom from Corruption,Fiscal Freedom ,Government Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Government Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Mali,Sub-Saharan Africa,25,28,69.6,89.2,47.2,50.7,81.1,73.2,60,40,8.4,40,35,14.5,19,Mali,16.9,$18.60,1.7,2.9,"$1,103.00",8.5,-0.6,410.3,31.5
Malta,Europe,75,56,63.1,44.4,61,55.6,81.8,88,80,60,1,35,35,35.2,43.1,Malta,0.4,$11.60,2.4,1.1,"$27,840.00",6.5,1,"-2,099.8",71.7
Mauritania,Sub-Saharan Africa,25,30,80.2,59.8,50.5,52.1,76.6,69,50,40,8,30,25,21.3,36.6,Mauritania,3.7,$8.20,6.7,4.1,"$2,218.00",30.9,4.1,"1,154.1",87.7
Mauritius,Sub-Saharan Africa,65,52,91.9,87.4,78,68.2,77.6,88.4,85,70,0.8,15,15,18.9,20.5,Mauritius,1.3,$20.90,3.1,3.5,"$16,056.00",8.1,3.5,258.6,53.8
Mexico,North America,50,34,77.8,78,71.5,59.9,77.6,85.6,70,60,2.2,35,30,10,27.1,Mexico,118.4,"$1,842.60",1.1,1.8,"$15,563.00",5,3.8,"38,285.7",46.5
Micronesia,Asia-Pacific,30,30,93.2,0,51,79.1,76.9,81,25,30,4.5,10,21,11.6,65.2,Micronesia,0.1,$0.80,0.6,1.3,"$7,288.00",N/A,4,0.8,26.283
Moldova,Europe,40,35,85.1,51.8,66.8,40.6,76.1,79.8,50,50,2.6,18,12,32,40.1,Moldova,3.6,$13.30,8.9,3,"$3,736.00",5.9,4.6,231.3,24.4
Mongolia,Asia-Pacific,30,38,83.9,35.6,68.2,82.7,69.2,74.8,50,60,5.1,10,25,29.8,46.3,Mongolia,2.9,$17.10,11.7,9.2,"$5,885.00",4.9,9.6,"2,046.8",N/A
Montenegro,Europe,40,44,92.6,36.7,77.1,77.5,79.7,84.8,65,50,2.6,9,9,24,45.9,Montenegro,0.6,$7.40,3.4,0.1,"$11,913.00",19.7,2.2,447.4,56.8
Morocco,Middle East / North Africa,40,37,70.9,61,68.8,33.4,81.9,78.2,70,60,3.4,38,30,23.7,36.1,Morocco,32.9,$179.20,4.5,4.1,"$5,456.00",9.2,1.9,"3,358.4",61.9
Mozambique,Sub-Saharan Africa,30,30,75.2,66.5,60.9,37.9,82,75.4,40,50,4.8,32,32,20.8,33.4,Mozambique,25.9,$28.20,7.1,7,"$1,090.00",8.5,4.2,"5,935.1",43.3
Namibia,Sub-Saharan Africa,30,48,66.7,56,64.3,90.9,74.3,71.2,55,40,6.9,37,34,28.4,38.3,Namibia,2.2,$17.80,4.3,4,"$8,191.00",17.7,6.2,699.1,26.6
Nepal,Asia-Pacific,30,31,85.6,88.9,65.7,44.3,70.5,61.8,5,30,11.6,25,25,13.9,19.2,Nepal,27.9,$42.10,3.6,4.3,"$1,508.00",2.7,9.9,73.6,31
